transmission,price,status
automatic,75817.99,active
manual,23534.99,sold
manual,29805.99,active
manual,78469.99,inactive
manual,25729.99,inactive
automatic,78082.99,inactive
manual,28640.99,active
automatic,53537.99,inactive
manual,27975.99,inactive
automatic,44749.99,active
manual,79371.99,sold
manual,67925.99,sold
manual,20974.99,sold
automatic,60052.99,inactive
automatic,24911.99,sold
automatic,25205.99,active
manual,68649.99,active
manual,40836.99,inactive
manual,74830.99,inactive
automatic,36237.99,inactive
automatic,21623.99,active
manual,34776.99,sold
automatic,78035.99,inactive
manual,73036.99,active
automatic,73923.99,inactive
manual,24331.99,sold
automatic,43450.99,inactive
manual,37651.99,active
manual,76244.99,active
manual,79459.99,sold
manual,71619.99,sold
manual,44973.99,inactive
automatic,20539.99,active
manual,24824.99,inactive
automatic,35925.99,active
automatic,57834.99,inactive
manual,67357.99,active
manual,41839.99,inactive
automatic,51393.99,active
manual,66978.99,sold
automatic,73876.99,active
manual,67354.99,inactive
manual,74778.99,sold
automatic,63840.99,active
manual,36328.99,active
manual,67951.99,active
automatic,79773.99,active
automatic,43205.99,active
automatic,44858.99,inactive
manual,73267.99,inactive
automatic,55440.99,sold
manual,36093.99,active
automatic,58127.99,sold
manual,61365.99,sold
manual,64698.99,sold
manual,36405.99,active
manual,47442.99,inactive
manual,46286.99,inactive
manual,38361.99,inactive
manual,24214.99,inactive
manual,77691.99,inactive
automatic,22950.99,inactive
automatic,37322.99,inactive
automatic,57319.99,sold
manual,55421.99,active
manual,27378.99,inactive
manual,20697.99,active
manual,77372.99,active
automatic,37080.99,sold
manual,78939.99,inactive
manual,55270.99,inactive
automatic,66012.99,sold
manual,37652.99,sold
manual,31433.99,active
automatic,20224.99,inactive
automatic,43253.99,active
automatic,21248.99,active
manual,40500.99,inactive
manual,71570.99,inactive
manual,38022.99,sold
automatic,64116.99,inactive
automatic,45057.99,sold
manual,49576.99,sold
manual,32409.99,inactive
manual,24159.99,inactive
manual,32133.99,active
automatic,29263.99,sold
manual,64827.99,inactive
automatic,75407.99,active
manual,54524.99,sold
manual,28373.99,inactive
automatic,75019.99,sold
manual,75645.99,active
automatic,33272.99,inactive
manual,43608.99,active
automatic,71360.99,inactive
automatic,78194.99,inactive
automatic,49931.99,inactive
manual,53957.99,active
automatic,62234.99,active
manual,55103.99,inactive
manual,53452.99,active
automatic,40475.99,sold
automatic,39316.99,inactive
manual,70977.99,inactive
manual,56407.99,active
manual,55466.99,inactive
automatic,62016.99,inactive
automatic,65611.99,inactive
manual,72533.99,active
manual,38552.99,sold
automatic,78266.99,sold
automatic,67442.99,active
manual,33692.99,inactive
automatic,62871.99,sold
manual,53564.99,sold
automatic,51286.99,active
manual,37326.99,inactive
automatic,68099.99,inactive
manual,20187.99,sold
automatic,69786.99,sold
manual,63178.99,active
automatic,69225.99,sold
automatic,29694.99,active
manual,79370.99,inactive
manual,48978.99,active
manual,37411.99,inactive
manual,41554.99,inactive
manual,48345.99,sold
manual,55263.99,active
manual,37692.99,inactive
manual,71998.99,inactive
automatic,38972.99,inactive
automatic,48173.99,inactive
automatic,32041.99,inactive
automatic,37530.99,active
manual,73257.99,sold
manual,74636.99,inactive
manual,44961.99,active
manual,79026.99,sold
manual,66590.99,inactive
automatic,74622.99,active
manual,46723.99,active
manual,36915.99,inactive
automatic,23621.99,sold
automatic,38369.99,sold
automatic,47718.99,sold
manual,25966.99,inactive
automatic,78773.99,inactive
manual,53636.99,active
manual,22706.99,inactive
automatic,27127.99,sold
manual,30930.99,inactive
automatic,29143.99,sold
manual,76114.99,inactive
manual,58341.99,active
automatic,44636.99,sold
automatic,53563.99,inactive
automatic,35964.99,sold
manual,26479.99,sold
manual,53772.99,inactive
manual,39836.99,inactive
manual,75228.99,active
manual,69023.99,active
automatic,34612.99,active
automatic,48933.99,inactive
automatic,77049.99,sold
manual,55063.99,sold
automatic,73468.99,inactive
manual,66368.99,active
manual,51168.99,inactive
automatic,77797.99,active
automatic,28475.99,sold
manual,60203.99,active
manual,33498.99,active
manual,71952.99,active
manual,48339.99,inactive
automatic,79045.99,inactive
automatic,51366.99,inactive
manual,24176.99,active
manual,39389.99,active
automatic,45848.99,inactive
manual,71948.99,inactive
automatic,58873.99,sold
manual,24065.99,active
manual,77685.99,inactive
automatic,31656.99,active
automatic,66205.99,active
automatic,25311.99,inactive
automatic,54925.99,active
automatic,42326.99,sold
manual,39742.99,sold
manual,30885.99,active
manual,55114.99,active
manual,26083.99,inactive
automatic,79532.99,active
manual,36857.99,sold
automatic,67510.99,sold
automatic,42717.99,active
manual,68304.99,sold
manual,32856.99,inactive
manual,68196.99,active
automatic,59188.99,inactive
automatic,57057.99,active
manual,71975.99,inactive
manual,44307.99,active
automatic,78318.99,sold
automatic,58581.99,inactive
manual,32070.99,active
manual,58183.99,inactive
manual,47037.99,inactive
automatic,76533.99,sold
manual,73606.99,sold
automatic,69167.99,sold
automatic,47728.99,active
manual,63316.99,inactive
automatic,36315.99,inactive
automatic,57164.99,active
manual,61867.99,inactive
manual,43506.99,inactive
manual,27234.99,active
automatic,29764.99,inactive
manual,74517.99,sold
manual,59811.99,sold
automatic,63255.99,inactive
automatic,63963.99,active
manual,53869.99,sold
automatic,45523.99,sold
manual,28637.99,sold
manual,42261.99,active
manual,49182.99,sold
automatic,55775.99,active
automatic,54372.99,inactive
manual,30397.99,sold
automatic,59349.99,active
automatic,30146.99,sold
manual,46191.99,active
manual,36335.99,sold
automatic,62534.99,inactive
manual,73914.99,sold
manual,47700.99,inactive
manual,48785.99,sold
automatic,20506.99,active
manual,48378.99,sold
manual,52916.99,inactive
manual,44328.99,inactive
manual,60806.99,inactive
manual,48199.99,active
automatic,72456.99,active
manual,44752.99,active
manual,74576.99,sold
manual,54914.99,active
automatic,50835.99,inactive
automatic,29517.99,active
manual,62467.99,sold
automatic,52572.99,inactive
manual,22858.99,active
automatic,42361.99,active
automatic,30925.99,sold
manual,29286.99,sold
automatic,42665.99,inactive
automatic,64351.99,sold
automatic,79975.99,sold
manual,25380.99,sold
manual,43550.99,active
manual,73062.99,inactive
manual,72277.99,inactive
manual,24893.99,active
manual,46303.99,active
manual,56218.99,inactive
automatic,23463.99,sold
manual,22772.99,sold
automatic,20412.99,active
automatic,76259.99,active
automatic,43030.99,active
manual,32656.99,sold
manual,68221.99,active
manual,46639.99,active
automatic,61621.99,active
manual,48501.99,active
manual,23778.99,sold
automatic,61701.99,inactive
automatic,45883.99,active
automatic,78485.99,sold
automatic,79333.99,inactive
automatic,20915.99,inactive
automatic,58145.99,sold
manual,44831.99,inactive
manual,20618.99,sold
manual,42989.99,active
manual,37720.99,sold
automatic,39359.99,sold
manual,59924.99,sold
manual,71121.99,active
automatic,78119.99,sold
manual,79134.99,sold
automatic,70373.99,sold
automatic,35208.99,sold
manual,23638.99,inactive
automatic,44042.99,active
automatic,27359.99,active
automatic,42114.99,sold
automatic,77504.99,active
manual,63526.99,sold
manual,75895.99,active
manual,50614.99,active
manual,45961.99,inactive
manual,75684.99,active
manual,41364.99,inactive
automatic,47263.99,active
automatic,50243.99,sold
manual,20874.99,inactive
manual,56388.99,active
automatic,63035.99,sold
manual,69691.99,active
manual,32700.99,sold
manual,73094.99,inactive
manual,33797.99,inactive
manual,54938.99,sold
automatic,67987.99,inactive
automatic,60828.99,active
automatic,47249.99,sold
manual,56539.99,inactive
automatic,26936.99,inactive
automatic,51937.99,sold
manual,69984.99,inactive
automatic,79638.99,sold
automatic,63152.99,inactive
automatic,42563.99,inactive
automatic,21111.99,active
manual,74547.99,sold
manual,53279.99,sold
automatic,51447.99,inactive
manual,28925.99,sold
manual,37155.99,active
automatic,34602.99,active
automatic,47001.99,sold
manual,29698.99,sold
manual,73308.99,active
manual,53603.99,inactive
manual,25548.99,inactive
manual,23739.99,sold
automatic,77856.99,active
manual,69529.99,inactive
manual,38629.99,sold
manual,61058.99,sold
automatic,73951.99,sold
automatic,67015.99,inactive
manual,24152.99,active
manual,77486.99,active
manual,64520.99,active
automatic,46299.99,inactive
automatic,42979.99,sold
manual,72128.99,sold
automatic,63746.99,inactive
manual,40093.99,active
manual,59854.99,inactive
automatic,51631.99,inactive
automatic,60886.99,sold
automatic,22487.99,active
manual,64145.99,sold
manual,28061.99,inactive
manual,42395.99,active
automatic,33200.99,active
manual,37177.99,inactive
automatic,23251.99,inactive
manual,54397.99,inactive
automatic,73918.99,active
automatic,53314.99,sold
automatic,27934.99,inactive
automatic,49700.99,sold
automatic,33134.99,sold
automatic,23469.99,sold
automatic,75861.99,inactive
automatic,50455.99,active
manual,23714.99,active
automatic,74222.99,active
automatic,37253.99,inactive
manual,29163.99,active
automatic,67076.99,sold
automatic,37824.99,inactive
automatic,39698.99,inactive
automatic,24863.99,inactive
automatic,77432.99,active
automatic,69583.99,sold
manual,48949.99,inactive
manual,34869.99,sold
automatic,20616.99,inactive
automatic,24172.99,sold
manual,61840.99,inactive
automatic,50878.99,inactive
automatic,23925.99,active
automatic,53064.99,sold
automatic,43351.99,active
automatic,64027.99,inactive
manual,35416.99,active
manual,43116.99,sold
manual,46198.99,sold
manual,51587.99,sold
manual,43554.99,inactive
manual,68365.99,sold
manual,23360.99,inactive
manual,47549.99,inactive
manual,31639.99,active
automatic,75240.99,sold
automatic,25712.99,active
manual,29447.99,inactive
manual,79686.99,active
automatic,74797.99,active
automatic,67624.99,active
automatic,20034.99,sold
automatic,56068.99,sold
automatic,40218.99,sold
automatic,51183.99,active
automatic,34503.99,sold
automatic,66515.99,active
automatic,45015.99,active
manual,27334.99,inactive
automatic,41522.99,inactive
manual,20720.99,active
manual,40711.99,active
automatic,22528.99,sold
automatic,55988.99,active
manual,57624.99,active
manual,26720.99,active
automatic,38623.99,active
automatic,41795.99,active
automatic,57490.99,active
manual,76513.99,active
automatic,37735.99,inactive
automatic,65854.99,sold
automatic,65791.99,active
automatic,42886.99,sold
manual,38628.99,inactive
manual,38841.99,active
manual,25088.99,sold
automatic,48748.99,active
manual,41846.99,inactive
manual,54597.99,sold
manual,54368.99,inactive
automatic,28929.99,inactive
automatic,54192.99,active
manual,34668.99,inactive
automatic,63209.99,sold
manual,59634.99,inactive
automatic,42007.99,sold
automatic,22913.99,sold
automatic,55495.99,inactive
automatic,46929.99,inactive
manual,32641.99,active
automatic,38192.99,sold
manual,69294.99,sold
manual,42764.99,inactive
automatic,43226.99,sold
manual,52834.99,sold
automatic,38985.99,inactive
automatic,73466.99,inactive
manual,78175.99,inactive
manual,65971.99,inactive
manual,78664.99,sold
manual,72733.99,active
automatic,69862.99,sold
manual,26343.99,sold
manual,41591.99,active
manual,41883.99,sold
automatic,53441.99,inactive
automatic,36081.99,inactive
automatic,58132.99,sold
manual,57903.99,inactive
manual,54499.99,sold
manual,43787.99,sold
manual,36476.99,sold
manual,50171.99,inactive
automatic,56886.99,sold
manual,65631.99,active
manual,56962.99,sold
manual,53957.99,active
manual,61953.99,sold
automatic,30006.99,sold
manual,68754.99,inactive
automatic,42515.99,inactive
automatic,61640.99,sold
automatic,25998.99,active
automatic,62454.99,sold
automatic,59436.99,inactive
manual,36668.99,inactive
manual,41801.99,active
manual,46072.99,inactive
manual,74569.99,inactive
automatic,46277.99,inactive
automatic,41404.99,sold
manual,61578.99,sold
automatic,58197.99,sold
automatic,25184.99,inactive
manual,67194.99,inactive
manual,76381.99,sold
automatic,43238.99,inactive
manual,55537.99,sold
manual,59168.99,active
automatic,47741.99,inactive
manual,49642.99,active
automatic,24064.99,sold
manual,56927.99,inactive
manual,36780.99,sold
automatic,59718.99,sold
automatic,40715.99,sold
manual,60955.99,inactive
automatic,43541.99,inactive
manual,32309.99,inactive
automatic,55509.99,active
automatic,37872.99,sold
manual,48151.99,sold
manual,40071.99,inactive
automatic,62731.99,active
manual,53127.99,sold
automatic,74618.99,sold
manual,52848.99,active
automatic,69828.99,active
automatic,24241.99,sold
manual,25725.99,sold
automatic,43729.99,sold
manual,29090.99,inactive
manual,39555.99,sold
automatic,35895.99,sold
manual,21518.99,active
manual,60021.99,sold
manual,70642.99,sold
automatic,75393.99,sold
manual,78964.99,inactive
manual,56476.99,active
automatic,57822.99,sold
manual,79917.99,sold
manual,65030.99,sold
manual,73541.99,sold
manual,67410.99,inactive
automatic,47620.99,sold
manual,59614.99,inactive
manual,78232.99,inactive
manual,57562.99,inactive
automatic,45485.99,active
manual,25807.99,sold
manual,24204.99,inactive
automatic,34442.99,sold
automatic,40981.99,sold
manual,70528.99,active
manual,69503.99,inactive
manual,35578.99,active
automatic,70407.99,active
automatic,25306.99,inactive
automatic,63333.99,active
manual,67823.99,sold
automatic,79200.99,inactive
manual,51263.99,inactive
automatic,23136.99,active
manual,36044.99,active
manual,44853.99,active
manual,29337.99,sold
manual,74322.99,sold
manual,36702.99,inactive
automatic,48752.99,sold
manual,59387.99,inactive
manual,70906.99,sold
automatic,50899.99,inactive
manual,57100.99,active
manual,57950.99,active
automatic,75701.99,sold
manual,47632.99,inactive
manual,67387.99,active
automatic,37255.99,active
manual,50825.99,inactive
manual,60331.99,sold
manual,78527.99,active
manual,79847.99,inactive
automatic,26471.99,inactive
automatic,38252.99,inactive
manual,68538.99,inactive
automatic,48241.99,sold
manual,76750.99,inactive
manual,32143.99,active
automatic,34248.99,sold
automatic,41291.99,inactive
automatic,22984.99,inactive
manual,60747.99,active
automatic,31362.99,active
automatic,60722.99,sold
automatic,37946.99,inactive
manual,49786.99,inactive
automatic,63175.99,active
manual,21092.99,active
automatic,76612.99,sold
automatic,45784.99,inactive
automatic,40578.99,active
automatic,59404.99,inactive
manual,42002.99,inactive
manual,41417.99,sold
manual,65894.99,active
manual,57242.99,active
automatic,51644.99,active
manual,50648.99,active
manual,53041.99,sold
automatic,48672.99,active
automatic,70132.99,sold
manual,75482.99,active
manual,46348.99,inactive
automatic,27295.99,sold
manual,39072.99,inactive
automatic,49092.99,sold
manual,56403.99,active
manual,72721.99,inactive
automatic,54584.99,inactive
automatic,68913.99,inactive
automatic,35404.99,inactive
automatic,38471.99,sold
automatic,49448.99,inactive
manual,41924.99,inactive
manual,68679.99,sold
automatic,45855.99,inactive
automatic,64479.99,active
manual,21759.99,active
automatic,60457.99,sold
automatic,68874.99,active
automatic,41535.99,active
manual,56785.99,inactive
automatic,61988.99,inactive
manual,51254.99,inactive
automatic,59162.99,inactive
manual,73715.99,inactive
automatic,60233.99,inactive
manual,58530.99,active
manual,49265.99,sold
manual,34977.99,active
automatic,23485.99,inactive
manual,31879.99,active
manual,42472.99,sold
manual,37977.99,active
automatic,56561.99,inactive
manual,41317.99,sold
automatic,34193.99,active
automatic,66968.99,inactive
automatic,32722.99,sold
automatic,77839.99,sold
manual,36916.99,inactive
automatic,72646.99,inactive
automatic,63829.99,sold
manual,45777.99,active
manual,79417.99,active
manual,46148.99,active
manual,71766.99,sold
automatic,74796.99,inactive
automatic,72167.99,active
automatic,64365.99,inactive
automatic,38893.99,inactive
automatic,44511.99,active
manual,57654.99,sold
manual,54921.99,active
manual,64550.99,active
manual,41622.99,inactive
automatic,39941.99,inactive
automatic,34759.99,active
manual,24407.99,active
automatic,45793.99,inactive
manual,50745.99,active
automatic,21119.99,active
manual,61279.99,inactive
manual,58519.99,sold
automatic,60664.99,inactive
automatic,44677.99,active
automatic,25746.99,inactive
manual,46151.99,active
automatic,32549.99,inactive
automatic,43726.99,sold
automatic,52377.99,active
manual,59760.99,inactive
automatic,74867.99,inactive
automatic,35560.99,active
manual,33194.99,sold
manual,48677.99,active
automatic,59075.99,sold
automatic,42759.99,active
manual,34212.99,inactive
automatic,55702.99,inactive
manual,40987.99,inactive
manual,63821.99,active
automatic,38470.99,active
manual,51343.99,sold
manual,49770.99,inactive
manual,77812.99,active
automatic,76726.99,active
automatic,58405.99,active
manual,29272.99,inactive
automatic,38426.99,active
manual,29197.99,sold
manual,60402.99,active
manual,52464.99,active
automatic,33974.99,inactive
manual,45621.99,active
automatic,56687.99,inactive
automatic,28853.99,sold
manual,70743.99,inactive
automatic,70218.99,sold
manual,56186.99,sold
manual,78093.99,sold
automatic,43770.99,active
automatic,45170.99,inactive
manual,53146.99,inactive
automatic,41578.99,active
manual,64824.99,active
manual,57156.99,inactive
manual,56319.99,sold
manual,23435.99,sold
automatic,65337.99,sold
automatic,49493.99,inactive
automatic,77287.99,sold
manual,63757.99,active
automatic,37029.99,inactive
manual,27425.99,inactive
automatic,53366.99,sold
manual,50482.99,sold
manual,47212.99,sold
manual,68833.99,active
automatic,74967.99,active
automatic,51169.99,sold
automatic,72777.99,active
automatic,45966.99,active
automatic,71851.99,inactive
manual,68438.99,active
manual,65331.99,inactive
manual,51933.99,inactive
automatic,39026.99,sold
automatic,55440.99,active
manual,26586.99,inactive
manual,27059.99,sold
manual,68510.99,active
manual,37686.99,inactive
manual,45185.99,sold
automatic,36140.99,inactive
manual,63364.99,inactive
manual,35582.99,active
manual,20052.99,active
manual,39432.99,inactive
automatic,35400.99,inactive
automatic,63313.99,sold
automatic,21356.99,active
manual,73314.99,active
manual,30208.99,active
manual,65169.99,inactive
automatic,56679.99,active
automatic,55404.99,sold
manual,22543.99,active
automatic,27222.99,sold
automatic,40144.99,active
automatic,63552.99,active
manual,79974.99,inactive
automatic,33086.99,inactive
automatic,26720.99,inactive
automatic,58213.99,sold
automatic,79956.99,active
automatic,78903.99,sold
manual,42359.99,sold
manual,34112.99,active
automatic,27945.99,inactive
automatic,42562.99,inactive
automatic,25158.99,sold
automatic,77287.99,inactive
manual,27737.99,sold
manual,66641.99,active
automatic,49548.99,active
automatic,32810.99,active
manual,46205.99,inactive
automatic,42932.99,inactive
manual,27937.99,inactive
manual,70652.99,active
automatic,43218.99,active
automatic,44466.99,sold
manual,49704.99,active
automatic,62951.99,active
manual,54361.99,inactive
automatic,73155.99,sold
automatic,36626.99,active
manual,72987.99,active
manual,22208.99,active
automatic,51944.99,sold
automatic,61301.99,inactive
manual,25313.99,inactive
manual,39939.99,inactive
automatic,22962.99,sold
manual,44496.99,sold
automatic,53355.99,active
automatic,45973.99,sold
automatic,72691.99,inactive
manual,38448.99,active
manual,39242.99,inactive
automatic,64693.99,active
automatic,48463.99,sold
manual,54071.99,active
manual,41061.99,inactive
automatic,37006.99,sold
automatic,73539.99,sold
manual,40065.99,active
manual,29653.99,sold
automatic,72694.99,sold
manual,44031.99,active
automatic,23895.99,inactive
automatic,28033.99,sold
manual,69096.99,active
automatic,35431.99,sold
manual,74898.99,active
automatic,57913.99,inactive
manual,35465.99,sold
manual,55392.99,sold
manual,25554.99,inactive
automatic,58981.99,inactive
automatic,67055.99,inactive
automatic,31597.99,sold
manual,25046.99,sold
automatic,76019.99,inactive
automatic,49339.99,active
manual,25601.99,active
automatic,36383.99,active
automatic,66801.99,inactive
automatic,40427.99,active
manual,71221.99,inactive
manual,20468.99,inactive
automatic,39137.99,active
automatic,62489.99,sold
manual,30804.99,sold
automatic,67637.99,sold
manual,71729.99,active
automatic,30950.99,active
automatic,35078.99,sold
automatic,42272.99,inactive
manual,70318.99,active
automatic,49507.99,sold
manual,79210.99,sold
automatic,67959.99,sold
manual,23944.99,inactive
automatic,68874.99,active
automatic,60456.99,inactive
automatic,29275.99,inactive
manual,53178.99,sold
manual,64828.99,active
automatic,29276.99,inactive
manual,39245.99,sold
manual,32290.99,sold
manual,29762.99,sold
manual,47237.99,sold
manual,55660.99,sold
automatic,23279.99,inactive
automatic,46723.99,sold
manual,67151.99,sold
automatic,43256.99,sold
automatic,33304.99,sold
manual,45649.99,inactive
automatic,56249.99,sold
manual,60498.99,sold
automatic,48677.99,sold
automatic,71605.99,sold
automatic,54248.99,active
manual,71103.99,inactive
automatic,27152.99,active
automatic,63349.99,active
manual,72995.99,inactive
manual,40126.99,active
manual,69056.99,active
manual,32541.99,inactive
automatic,56650.99,sold
automatic,78936.99,inactive
manual,54899.99,active
